cod,seguradora,roa,roe,giro_ativo,endividamento,endividamento_comp,margem_lucro_bruto,margem_lucro_liquido,imobilizacao_ativo,sinistralidade,taxa_despesas_comercializacao,taxa_despesas_adm,combinado,combinado_ampliado,pmcr,liquidez_geral,liquidez_corrente,beneficiarios,tiquete_medio,ativo_total,ativo_circ,ativo_nao,aplicacoes,conta_corrente_cooperados,contraprestacao_a_receber,contraprestacoes_efetivas1,contraprestacoes_efetivas2,contraprestacoes_liquidas,contribuicao_social,creditos_n_opas,creditos_opas,debitos_diversos,debitos_n_opas,debitos_opas,despesas,despesas_adm,despesas_comercializacao,despesas_de_comercializacao_diferidas,despesas_emp,despesas_financeiras,despesas_patrimoniais,disponível,emprestimos_a_pagar,exigivel_a_longo_prazo,imobilizado,imposto_renda,impostos_diferidos,impostos_participacoes_lucro,intangível,investimentos,neg_recuperacao_outras_despesas_operacionais1,operadoras_pas,outras_despesas,outras_despesas_operacionais1,outras_receitas_operacionais1,outros_creditos_opas1,outros_creditos_opas2,outros_valores_e_bens1,outros_valores_e_bens2,outros_valores_e_bens3,participacoes_resultados,passivo_circ,passivo_nao,passivo_total,patrimonio_liquido,prov_contigencias,prov_opas_lp1,prov_perdas_creditos,prov_tecnicas_opas,provisoes,realizável a longo prazo,receita_adm_pas,receita_sus,receitas,receitas_financeiras,receitas_patrimoniais,resultado_acumulado,sinistros_conhecidos,sinistros_indenizaveis_liquidos,taxas_a_receber,titulos_a_receber,tributos_a_recolher,tributos_diretos_opas,variacao_das_prov_tec,variacao_peona,ativo_nivel,receitas_nivel,despesas_emp_nivel,modalidade
301060,unimed ituiutaba cooperativa traba,0.025038104032370438,0.05594525847991837,1.6527377176484521,0.42757019304327737,0.39060942679508037,0.20084797067471813,0.015149472154598824,0.16821102526853546,0.8262283286908245,0.005815501950716659,0.18412304061680038,1.0161668712583416,,61.1679351621859,2.338797269478471,2.1294646715421783,17800,2056.5741938202245,22.15,18.42,3.73,10.78,,6.06,37.2,-0.59,37.29,0.1,0.02,6.22,0.66,0.0,,40.94,6.74,0.21,,1.62,0.53,0.88,0.07,,0.82,2.47,0.24,,0.38,0.07,0.65,-0.03,0.0,1.72,0.49,0.76,0.16,,0.56,,0.03,0.05,8.65,3.58,22.15,9.91,,0.82,0.15,7.23,,0.53,,2.72,41.88,,1.76,,30.48,30.25,,0.74,0.76,-0.59,-0.09,-0.24,n3,n4,n2,Cooperativa Médica
301124,unimed gurupi cooperativa de traba,,,0.8470164214617238,0.4560739400794188,0.43464401693457677,0.20933960548633124,,0.35107417776928596,0.8069504858338417,0.008679531406027086,0.19538971794298318,1.011019735182852,1.0622129626485066,8.985724514068254,2.19262692322623,1.493005303069411,10160,2047.5776781496063,24.56,15.94,8.62,10.49,0.03,0.44,22.2,-1.4,22.2,,1.87,0.52,1.26,0.46,,29.71,4.06,0.18,,0.69,0.58,0.0,1.27,0.45,0.53,4.26,,,,0.01,0.43,,0.0,7.52,0.46,0.09,0.08,,0.71,0.03,0.03,,10.68,4.82,24.56,9.06,,0.53,0.12,4.58,3.46,3.91,,7.85,30.03,-0.43,1.54,,16.53,16.79,,1.02,0.45,-1.4,-0.0,0.26,n3,n4,n1,Cooperativa Médica
301574,unimed de limeira cooperativa de t,0.017718740312552682,0.03457276417374256,1.7904770650341664,0.3178141425742202,0.316709378864582,0.20934123103929173,0.009896100128048592,0.6091398890377651,0.8092206024218415,0.0025703950815859273,0.18980713279286396,1.0015981302962913,1.0175335195662043,6.1589246423578174,3.1464930789430388,1.2341286272085998,46144,2529.65292540742,65.19,25.48,39.71,15.8,0.64,1.92,119.44,-2.71,119.45,0.2,2.72,2.0,8.26,1.37,0.02,163.62,22.16,0.3,,5.69,1.72,,0.64,0.7,0.07,31.22,0.53,,1.64,0.35,1.42,,0.0,43.85,0.01,0.01,0.08,,3.66,0.12,0.09,0.91,20.65,11.13,65.19,33.41,,0.07,1.12,6.34,,6.72,,46.02,166.42,-0.1,3.33,,94.9,94.46,,0.46,3.32,-2.71,-0.01,-0.44,n4,n5,n4,Cooperativa Médica
301728,prontomed planos de saúde ltda    ,0.1146710793635068,0.2560622083007844,1.6765119853093162,,0.4602618812056323,0.26266413761885454,0.06839860398752234,0.15992035150160938,0.7553814210290511,0.0359623338289214,0.13560679839010098,0.9269505532480735,0.9472283237991909,41.897031378935736,,1.8252209943996345,30552,906.4242403115998,16.52,13.88,2.64,6.33,,2.68,28.3,-0.61,28.3,0.34,0.12,3.22,0.47,,,27.41,3.76,1.0,,1.0,0.5,,3.97,,,0.33,0.91,,1.25,0.09,0.52,,,0.91,0.2,,0.55,,0.2,0.0,,,7.6,1.52,16.52,7.4,0.04,,0.1,6.62,,1.7,,1.41,30.55,-0.09,1.55,,20.56,20.92,,0.05,0.51,-0.61,,0.36,n3,n4,n1,Medicina de Grupo
301744,unimed joaçaba cooperativa de trab,0.07513749866641213,0.27542852129706347,0.821055374672587,,0.17651556259635923,0.3760933447346018,0.09151331442946194,0.28643453427158727,0.6835115007903738,0.004380933442439961,0.2137023284324218,0.9015947626652356,0.9690819446526555,16.35726618089677,,4.042507387068944,15382,1733.254215316604,32.47,23.17,9.3,18.95,0.02,1.21,27.37,-0.71,27.37,0.5,1.34,1.21,0.68,0.88,0.23,31.06,5.7,0.12,,1.02,1.34,,0.31,0.0,,4.17,1.35,,1.85,0.01,0.62,,,5.08,0.58,,,,0.33,0.01,0.0,,5.73,17.88,32.47,8.86,,,0.02,3.53,,4.5,,6.67,35.35,-0.51,2.38,,17.96,18.22,,1.02,0.39,-0.71,,0.27,n3,n4,n2,Cooperativa Médica
302091,são francisco sistemas de saúde so,0.09712039126484523,0.2939026306729159,2.553083478802461,0.6315149386519006,0.617494594045034,0.23393036307878895,0.03804042917954259,0.25184487932237376,0.7690846548541165,0.014236221253250475,0.15543493612612586,0.9387558122334929,0.9451391103763482,47.81643018078419,1.5834938158940581,1.2115978469976096,630900,1212.1233617372009,299.53,224.1,75.44,87.98,,101.57,783.96,-19.23,786.68,5.07,9.8,101.57,44.22,1.99,0.28,753.08,118.87,10.89,,25.75,5.08,0.04,11.93,1.85,4.2,28.5,14.29,-2.8,16.57,24.34,10.52,,,13.45,2.2,0.62,,,10.83,0.02,,,184.96,15.59,299.53,98.98,1.54,4.2,12.88,127.93,,12.08,,15.76,798.74,-0.09,16.31,,592.21,588.14,,1.96,8.69,-19.23,-2.72,-4.07,n4,n5,n5,Medicina de Grupo
302147,prevent senior private operadora d,0.255700540838789,0.6687229057848179,2.596325725219173,0.550454130135797,0.5258585468255058,,0.09848553991321857,0.4236767045496442,0.7495604211508606,0.005300349338126381,0.0943888446203309,0.849249615109318,,4.706549790980978,1.8166818000862306,1.0959663942508775,409213,4642.20047061066,731.67,421.68,309.99,356.58,,24.84,2000.76,-101.11,2000.76,24.39,,24.84,79.35,,48.95,1684.68,179.31,10.07,,54.39,40.86,0.43,1.47,17.45,18.0,203.85,64.85,-2.4,86.84,6.16,76.02,,,,15.26,,,,22.64,5.34,,,384.75,67.15,731.67,279.77,1.62,18.0,13.23,192.47,,23.97,,1.91,1958.61,,55.62,,1427.37,1423.9,,10.81,46.52,-101.11,,-3.47,n4,n6,n5,Medicina de Grupo
302228,unimed vale do corumbá cooperativa,,,2.0880429470904183,,0.3630984109828933,0.09934316263175663,,0.1605526557929564,0.8493164086302523,0.002149364661676807,0.10060999094561447,0.9520757642375436,0.959813862990224,3.966098085651668,,2.311900352124076,7568,1830.8497938689218,6.64,5.57,1.07,4.82,0.03,0.15,13.92,-0.07,13.92,,0.0,0.15,0.08,0.09,,15.26,1.39,0.03,,0.32,0.07,,0.59,,,0.2,,,,0.0,0.07,,,1.81,0.01,0.0,,,0.0,,,,2.41,1.01,6.64,3.22,,,0.18,2.12,,0.79,0.0,1.1,15.58,-0.04,0.66,,11.61,11.77,,,0.09,-0.07,,0.16,n2,n4,n1,Cooperativa Médica
302490,prontomed novo hamburgo ltda.     ,0.011558827873320488,0.0530393619749564,2.7168136449698,,0.7820707594714617,0.4058648019146853,0.004254553084537742,0.2603241183667367,0.6502959872046397,0.0018861924737298278,0.34776282178608764,0.9999450014644571,1.0852707168779625,2.2795100605414076,,0.9457915062994434,7073,1073.7146939064046,2.8,2.07,0.73,1.68,,0.05,7.89,-0.3,7.89,0.0,0.22,0.05,0.5,,,10.34,2.64,0.01,,0.6,0.41,,0.01,0.0,,0.64,0.0,,0.01,,,,,2.27,0.07,,,,0.02,0.01,,,2.19,,2.8,0.61,,,-0.0,1.49,,0.08,,2.7,10.38,-0.18,0.27,,4.84,4.94,,0.08,0.19,-0.3,,0.1,n2,n4,n1,Medicina de Grupo
302627,caixa de assistência dos magistrad,,,,,0.16032191939179408,,,0.04300621784415575,,,,,,,,6.770052780155928,2153,,25.64,24.53,1.1,21.3,,1.71,18.09,,18.09,,0.15,1.72,0.24,,0.0,19.8,2.33,1.72,,0.48,0.34,0.06,1.26,0.0,,0.59,,,,0.01,0.5,,,,0.0,0.03,0.01,,0.1,0.0,,,3.62,,22.6,18.98,,,,3.27,0.0,0.0,,1.62,22.84,,2.78,,15.23,15.35,,,0.11,,,0.13,n3,n4,n1,Autogestão
302953,unimed de macaé cooperativa de ass,0.05744357800574589,0.13175977218072757,1.4120801743704134,0.443436218292465,0.4387404290771123,0.20559750856892162,0.04068011083815233,0.5348167861808192,0.9305040262110886,0.010325065597041508,0.1486220075120167,1.089451099320147,1.1007693437793005,5.742500280571204,2.2551157500185464,1.0602697699815145,76656,2360.8522419640994,128.16,59.62,68.54,22.5,0.13,1.68,183.49,-2.52,183.54,0.26,12.34,2.89,13.92,10.65,1.58,293.54,26.9,1.87,,8.76,1.61,,0.51,,0.6,54.28,0.7,,0.96,0.2,2.71,,0.0,91.8,0.37,0.12,1.2,,18.13,,,,56.23,16.06,128.16,55.87,,0.6,2.59,21.82,0.48,11.36,,116.43,301.86,-0.25,4.39,,168.11,168.4,,3.25,7.66,-2.52,-0.05,0.29,n4,n5,n4,Cooperativa Médica
303178,unimed de sobral sociedade coopera,,,1.8412320868013927,0.23775228736853046,0.29684311848625,0.3715340292926399,,0.5678571688510538,0.709601166468666,0.0039348719143888974,0.17025112002090048,0.8837871584039553,,24.26941820041409,4.20605837726364,1.9687258507879393,16259,3004.7773768374436,26.53,11.47,15.07,4.95,0.06,2.75,49.09,-0.23,46.55,,0.4,3.29,0.16,,0.01,62.8,8.32,0.19,,1.84,0.96,,0.23,0.09,0.48,5.83,,,,0.06,7.04,,,15.87,0.02,,0.54,,2.06,0.0,,,5.82,1.34,19.62,12.46,0.24,0.48,2.53,5.03,,2.14,,19.84,69.72,,0.95,,34.04,34.67,,0.53,0.47,-0.23,2.54,0.63,n3,n4,n2,Cooperativa Médica
303267,unimed jundiai - cooperativa de tr,0.09595068778749967,0.29824601786968385,2.155274431611624,0.43137465986456475,0.4188525953099154,0.21022820868992345,0.044519011769536806,0.5542912301353603,0.8123150686704337,0.03554674235695537,0.10542482066163658,0.9532866316890256,0.9740686626608763,17.15395343334447,2.3181704746263074,1.0641184389339955,98207,2399.8609990122904,109.35,48.74,60.61,23.82,0.15,6.73,244.58,-8.89,244.73,0.38,4.88,11.23,10.22,1.08,0.53,274.06,24.85,8.38,0.0,7.17,4.94,0.03,0.69,2.26,1.37,46.3,0.94,,1.53,1.12,1.69,,4.5,40.54,1.23,0.31,,,5.2,0.2,0.0,0.22,45.8,28.37,109.35,35.18,,1.37,2.64,26.01,,11.5,,45.85,286.08,-0.09,4.27,,185.94,191.45,,2.72,5.56,-8.89,-0.15,5.5,n4,n5,n4,Cooperativa Médica
303356,unimed litoral cooperativa de trab,-0.011785009771291875,-0.029495817471182798,0.9459117243058062,,0.2678508785336337,0.13244699854807646,-0.012458889628353809,0.6952582051328953,0.9288891790526552,0.0034925803583624048,0.11367497452051296,1.0460567339315305,1.0963138865196684,11.965512697042247,,1.137729308693825,61933,2799.471017228295,183.29,55.86,127.44,29.08,,2.57,179.5,-6.12,179.5,0.11,11.44,5.76,13.57,6.02,0.53,324.14,19.71,0.61,,4.72,7.78,0.11,0.25,4.17,,116.46,0.28,,0.38,0.59,4.79,,,131.45,0.09,0.16,3.19,0.01,5.27,0.01,0.03,,49.1,60.96,183.29,73.23,2.54,,0.8,20.82,,5.6,,142.08,322.36,-0.16,6.19,,159.22,161.05,,4.02,3.99,-6.12,,1.83,n4,n5,n3,Cooperativa Médica
303623,centro trasmontano de sao paulo   ,,,,0.4161577234623561,0.38397605441782506,,,0.575497820016797,,,,,,,2.40293509797243,1.1055433668300558,89025,,234.01,99.34,134.67,49.98,,45.94,416.34,,416.34,,,45.94,6.32,,2.91,416.27,51.7,22.05,,11.27,2.34,,0.46,0.87,7.53,15.68,,,,0.38,99.76,,,,2.72,0.57,,,2.03,0.12,,,89.85,9.76,234.01,134.39,3.49,7.53,8.91,75.08,,18.86,,2.33,431.25,,3.62,,316.59,325.07,,0.81,4.67,,,8.48,n4,n5,n5,Medicina de Grupo
303739,sermed-saúde ltda.                ,0.09864866865649628,0.23122708014336424,3.0035949533227475,0.4632953276421083,0.44781029710231457,0.20987280694001925,0.032843532563325666,0.5761871617504509,0.790199144835112,,0.14536128233859072,,,18.289419021690428,2.158450431799933,0.9464115519271266,59589,1706.8061593582706,33.86,14.35,19.51,8.49,,5.13,103.44,-1.74,103.44,,0.05,5.17,1.9,0.03,0.01,99.26,14.78,,,4.77,1.18,,0.17,0.36,0.52,16.9,1.47,0.24,1.72,0.09,0.42,,0.0,0.83,0.82,0.24,0.04,,0.41,0.01,,,15.16,4.25,33.86,14.45,0.84,0.52,0.44,11.49,,2.1,,0.84,104.32,,1.35,0.0,80.75,80.37,,0.06,1.37,-1.74,,-0.38,n3,n5,n3,Medicina de Grupo
303844,unimed de andradina - cooperativa ,0.030736968853856905,0.10251819977066196,1.853902925580693,0.46832784255551113,0.4681784150209717,0.21977055903599704,0.016579599950860023,0.3247126141913034,0.7705755991786257,0.006868768742790048,0.1650935514773199,0.9425379193987357,0.9635180725171429,12.233938764405236,2.135256350643875,1.4423718910203231,21350,1898.6554622950819,21.87,14.77,7.1,8.93,0.15,0.89,40.99,-0.45,40.96,0.04,1.6,1.38,1.24,1.46,,65.67,6.69,0.28,,1.87,0.37,,0.27,,0.0,2.42,0.1,,0.15,0.09,0.86,,,25.52,0.9,0.1,0.49,,2.48,0.03,0.0,,10.24,5.07,21.87,6.56,0.02,0.0,0.65,6.12,0.02,3.73,,25.13,66.49,-0.51,1.16,,30.81,31.24,,0.08,1.25,-0.45,0.03,0.43,n3,n4,n2,Cooperativa Médica
303976,unimed de belém cooperativa de tra,0.1224160918078706,0.5104271986253326,2.5472217972329436,0.5338526181389778,0.5241009479947234,0.17580585218815306,0.04805867001485761,0.3862890758885693,0.8424518439368787,0.001926421375503793,0.10435323740385845,0.9487315027162408,,10.830231326790152,1.8731761651483934,1.1709784659989002,270017,3603.711150075736,382.01,234.44,147.57,164.94,,29.27,986.37,-13.31,986.4,0.0,22.52,29.27,29.73,8.16,2.98,974.97,101.54,1.87,,22.04,10.27,,4.78,0.0,3.73,59.27,0.0,,0.0,0.91,7.54,,,0.24,4.84,0.0,,,8.22,1.25,0.01,,200.21,90.18,382.01,91.62,,3.73,36.44,131.64,1.08,79.85,,18.01,1021.73,,30.09,,825.9,819.76,,3.46,26.63,-13.31,-0.03,-6.14,n4,n6,n5,Cooperativa Médica
304051,unimed montes claros cooperativa d,,,1.8187198630432424,,0.5395104260714549,0.16991840562262905,,0.3594822752771097,0.8710764777321394,0.017651358495740056,0.12790718916544766,1.0166350253933272,,12.37767745391167,,1.1872202904157734,43024,1395.850784678319,33.02,21.15,11.87,16.24,,1.77,60.77,-0.72,60.77,,1.65,2.06,0.5,1.8,0.14,64.99,7.68,1.06,,1.64,0.38,,0.88,,,1.51,,,,0.14,0.35,,,2.27,0.02,,0.3,,0.08,,,,17.81,6.94,33.02,8.27,0.4,,0.86,14.16,0.09,9.87,,4.74,67.07,,1.85,,51.78,52.31,,0.24,1.13,-0.72,,0.53,n3,n4,n2,Cooperativa Médica
304123,unimed de avaré cooperativa de tra,0.09529493552125713,0.21538355054678285,1.4674647150299476,0.3764189928807828,0.36843162439093446,0.2921693114164922,0.06493848509285102,0.31671373254826934,0.7489630470142957,,0.24365783550728612,,,6.489922357053704,2.656614089387127,1.854580937728383,15277,2152.1335602539766,22.4,15.31,7.1,12.02,0.07,0.59,33.4,-0.52,33.33,0.1,0.92,0.59,1.54,0.64,0.0,45.7,8.01,,,2.79,0.18,0.0,0.33,0.01,0.18,5.32,0.25,,0.34,0.34,1.1,,0.0,11.37,1.39,0.86,,,1.4,,,,8.25,4.24,22.4,9.91,,0.18,0.12,4.91,,0.33,,12.73,48.18,,1.39,,24.35,24.62,,0.05,1.08,-0.52,0.06,0.28,n3,n4,n3,Cooperativa Médica
304131,associação beneficente de assistên,,,,,0.28388932311340975,,,0.03691943760153784,,,,,,,,2.897553394359774,2117,,7.1,6.84,0.26,6.76,,0.05,18.95,,18.95,,,0.05,0.08,,0.0,21.1,1.88,,,0.67,0.14,0.0,0.03,0.0,,0.21,,,,,,,,,,0.0,,0.0,0.0,,,,2.36,,8.32,5.96,,,0.03,2.18,0.05,0.05,,,19.89,,0.93,,18.59,19.06,,,0.05,,,0.47,n2,n4,n1,Autogestão
