,dia,horario,transacao,item,valor
30/10/2016 10:53:49,domingo,10:53:49,23,Muffin,1.75
30/10/2016 10:54:33,domingo,10:54:33,24,Bread,2.0
30/10/2016 10:55:22,domingo,10:55:22,25,Scandinavian,3.0
30/10/2016 10:56:08,domingo,10:56:08,26,Fudge,2.2
30/10/2016 11:02:19,domingo,11:02:19,27,Scandinavian,3.0
30/10/2016 11:03:24,domingo,11:03:24,28,Coffee,1.5
30/10/2016 11:03:24,domingo,11:03:24,28,Bread,2.0
30/10/2016 11:05:30,domingo,11:05:30,29,Bread,2.0
30/10/2016 11:05:30,domingo,11:05:30,29,Jam,2.0
30/10/2016 11:07:19,domingo,11:07:19,30,Bread,2.0
30/10/2016 11:12:56,domingo,11:12:56,31,Basket,5.0
30/10/2016 11:16:15,domingo,11:16:15,32,Scandinavian,3.0
30/10/2016 11:16:15,domingo,11:16:15,32,Muffin,1.75
30/10/2016 11:22:49,domingo,11:22:49,33,Coffee,1.5
30/10/2016 11:25:45,domingo,11:25:45,34,Coffee,1.5
30/10/2016 11:25:45,domingo,11:25:45,34,Muffin,1.75
30/10/2016 11:27:34,domingo,11:27:34,35,Muffin,1.75
30/10/2016 11:27:34,domingo,11:27:34,35,Scandinavian,3.0
30/10/2016 11:33:08,domingo,11:33:08,36,Tea,1.5
30/10/2016 11:33:08,domingo,11:33:08,36,Bread,2.0
30/10/2016 11:37:10,domingo,11:37:10,37,Coffee,1.5
30/10/2016 11:37:10,domingo,11:37:10,37,Bread,2.0
30/10/2016 11:42:40,domingo,11:42:40,38,Bread,2.0
30/10/2016 11:42:40,domingo,11:42:40,38,Tea,1.5
30/10/2016 11:44:31,domingo,11:44:31,39,Scandinavian,3.0
30/10/2016 11:55:51,domingo,11:55:51,40,Juice,3.75
30/10/2016 11:55:51,domingo,11:55:51,40,Tartine,3.0
30/10/2016 11:55:51,domingo,11:55:51,40,Coffee,1.5
30/10/2016 11:55:51,domingo,11:55:51,40,Muffin,1.75
30/10/2016 11:57:06,domingo,11:57:06,41,Scandinavian,3.0
30/10/2016 11:57:45,domingo,11:57:45,42,Bread,2.0
30/10/2016 11:57:45,domingo,11:57:45,42,Tea,1.5
30/10/2016 12:00:22,domingo,12:00:22,43,Scandinavian,3.0
30/10/2016 12:00:22,domingo,12:00:22,43,Fudge,2.2
30/10/2016 12:05:47,domingo,12:05:47,44,Coffee,1.5
30/10/2016 12:05:47,domingo,12:05:47,44,Medialuna,3.0
30/10/2016 12:08:36,domingo,12:08:36,45,Coffee,1.5
30/10/2016 12:08:36,domingo,12:08:36,45,Hot chocolate,2.5
30/10/2016 12:08:36,domingo,12:08:36,45,Medialuna,3.0
30/10/2016 12:09:04,domingo,12:09:04,46,Coffee,1.5
30/10/2016 12:15:29,domingo,12:15:29,47,Ella's Kitchen Pouches,3.0
30/10/2016 12:15:29,domingo,12:15:29,47,Juice,3.75
30/10/2016 12:15:29,domingo,12:15:29,47,Bread,2.0
30/10/2016 12:15:29,domingo,12:15:29,47,Muffin,1.75
30/10/2016 12:15:29,domingo,12:15:29,47,Jam,2.0
30/10/2016 12:17:02,domingo,12:17:02,48,Coffee,1.5
30/10/2016 12:23:01,domingo,12:23:01,49,Coffee,1.5
30/10/2016 12:23:01,domingo,12:23:01,49,Coffee,1.5
30/10/2016 12:23:01,domingo,12:23:01,49,Medialuna,3.0
30/10/2016 12:25:11,domingo,12:25:11,50,Bread,2.0
30/10/2016 12:25:11,domingo,12:25:11,50,Victorian Sponge,3.0
30/10/2016 12:26:58,domingo,12:26:58,51,Bread,2.0
30/10/2016 12:28:07,domingo,12:28:07,52,Scandinavian,3.0
30/10/2016 12:33:08,domingo,12:33:08,54,Bread,2.0
30/10/2016 12:38:06,domingo,12:38:06,55,Frittata,6.0
30/10/2016 12:38:06,domingo,12:38:06,55,Coffee,1.5
30/10/2016 12:38:06,domingo,12:38:06,55,Tea,1.5
30/10/2016 12:38:06,domingo,12:38:06,55,Hearty & Seasonal,6.0
30/10/2016 12:39:27,domingo,12:39:27,56,Coffee,1.5
30/10/2016 12:39:27,domingo,12:39:27,56,Frittata,6.0
30/10/2016 12:45:48,domingo,12:45:48,57,Scandinavian,3.0
30/10/2016 12:59:29,domingo,12:59:29,58,Victorian Sponge,3.0
30/10/2016 12:59:29,domingo,12:59:29,58,Hot chocolate,2.5
30/10/2016 12:59:29,domingo,12:59:29,58,Tea,1.5
30/10/2016 12:59:29,domingo,12:59:29,58,Soup,4.0
30/10/2016 13:02:04,domingo,13:02:04,59,Tea,1.5
30/10/2016 13:14:04,domingo,13:14:04,60,Cookies,1.5
30/10/2016 13:14:04,domingo,13:14:04,60,Coffee,1.5
30/10/2016 13:14:04,domingo,13:14:04,60,Juice,3.75
30/10/2016 13:14:04,domingo,13:14:04,60,Coffee,1.5
30/10/2016 13:15:38,domingo,13:15:38,61,Coffee,1.5
30/10/2016 13:24:00,domingo,13:24:00,62,Pick and Mix Bowls,4.0
30/10/2016 13:24:00,domingo,13:24:00,62,Hearty & Seasonal,6.0
30/10/2016 13:24:00,domingo,13:24:00,62,Hearty & Seasonal,6.0
30/10/2016 13:24:00,domingo,13:24:00,62,Coffee,1.5
30/10/2016 13:24:00,domingo,13:24:00,62,Smoothies,5.0
30/10/2016 13:24:00,domingo,13:24:00,62,Coffee,1.5
30/10/2016 13:33:12,domingo,13:33:12,63,Coffee,1.5
30/10/2016 13:34:07,domingo,13:34:07,64,Cake,4.0
30/10/2016 13:37:25,domingo,13:37:25,65,Tartine,3.0
30/10/2016 13:37:25,domingo,13:37:25,65,Mighty Protein,6.2
30/10/2016 13:37:25,domingo,13:37:25,65,Tea,1.5
30/10/2016 13:37:25,domingo,13:37:25,65,Coffee,1.5
30/10/2016 13:40:20,domingo,13:40:20,66,Hearty & Seasonal,6.0
30/10/2016 13:40:20,domingo,13:40:20,66,Frittata,6.0
30/10/2016 13:40:20,domingo,13:40:20,66,Mineral water,1.25
30/10/2016 13:46:48,domingo,13:46:48,67,Hearty & Seasonal,6.0
30/10/2016 13:46:48,domingo,13:46:48,67,Mineral water,1.25
30/10/2016 13:46:48,domingo,13:46:48,67,Muffin,1.75
30/10/2016 13:49:36,domingo,13:49:36,68,Frittata,6.0
30/10/2016 13:49:36,domingo,13:49:36,68,Coffee,1.5
30/10/2016 13:49:36,domingo,13:49:36,68,Tea,1.5
30/10/2016 13:49:36,domingo,13:49:36,68,Scandinavian,3.0
30/10/2016 13:49:36,domingo,13:49:36,68,Chicken sand,8.2
30/10/2016 13:51:49,domingo,13:51:49,69,Bread,2.0
30/10/2016 13:51:49,domingo,13:51:49,69,Tea,1.5
30/10/2016 13:51:49,domingo,13:51:49,69,Victorian Sponge,3.0
30/10/2016 13:54:42,domingo,13:54:42,70,Fudge,2.2
30/10/2016 13:56:08,domingo,13:56:08,71,Muffin,1.75
30/10/2016 14:21:38,domingo,14:21:38,72,Coffee,1.5
30/10/2016 14:21:38,domingo,14:21:38,72,Bread,2.0
30/10/2016 14:22:39,domingo,14:22:39,73,Bread,2.0
30/10/2016 14:24:03,domingo,14:24:03,74,Coffee,1.5
30/10/2016 14:24:03,domingo,14:24:03,74,Bread,2.0
30/10/2016 14:32:26,domingo,14:32:26,75,Jam,2.0
30/10/2016 14:32:26,domingo,14:32:26,75,Frittata,6.0
30/10/2016 14:32:49,domingo,14:32:49,76,Coffee,1.5
30/10/2016 14:35:36,domingo,14:35:36,77,Scandinavian,3.0
30/10/2016 14:42:29,domingo,14:42:29,78,Fudge,2.2
30/10/2016 14:45:44,domingo,14:45:44,79,Fudge,2.2
30/10/2016 14:45:44,domingo,14:45:44,79,Tea,1.5
30/10/2016 14:45:44,domingo,14:45:44,79,Coffee,1.5
30/10/2016 14:45:44,domingo,14:45:44,79,Muffin,1.75
30/10/2016 14:48:40,domingo,14:48:40,80,Frittata,6.0
30/10/2016 14:48:40,domingo,14:48:40,80,Bread,2.0
30/10/2016 14:48:40,domingo,14:48:40,80,Coffee,1.5
31/10/2016 08:28:31,segunda,08:28:31,81,Coffee,1.5
31/10/2016 08:28:31,segunda,08:28:31,81,Cake,4.0
31/10/2016 08:47:05,segunda,08:47:05,82,Tartine,3.0
31/10/2016 08:47:05,segunda,08:47:05,82,Bread,2.0
31/10/2016 08:57:47,segunda,08:57:47,83,Coffee,1.5
31/10/2016 08:57:47,segunda,08:57:47,83,Bread,2.0
31/10/2016 09:04:06,segunda,09:04:06,84,Bread,2.0
31/10/2016 09:10:09,segunda,09:10:09,85,Coffee,1.5
31/10/2016 09:10:09,segunda,09:10:09,85,Coffee,1.5
31/10/2016 09:10:09,segunda,09:10:09,85,Pastry,3.0
31/10/2016 09:10:09,segunda,09:10:09,85,Medialuna,3.0
31/10/2016 09:11:08,segunda,09:11:08,86,Juice,3.75
31/10/2016 09:12:56,segunda,09:12:56,87,Bread,2.0
31/10/2016 09:16:01,segunda,09:16:01,88,Coffee,1.5
31/10/2016 09:16:01,segunda,09:16:01,88,Coffee,1.5
31/10/2016 09:16:01,segunda,09:16:01,88,Jam,2.0
31/10/2016 09:19:41,segunda,09:19:41,89,Bread,2.0
31/10/2016 09:20:12,segunda,09:20:12,90,Bread,2.0
31/10/2016 09:20:12,segunda,09:20:12,90,Coffee,1.5
31/10/2016 09:22:48,segunda,09:22:48,91,Tea,1.5
31/10/2016 09:27:11,segunda,09:27:11,92,Coffee,1.5
31/10/2016 09:29:23,segunda,09:29:23,93,Bread,2.0
31/10/2016 09:29:23,segunda,09:29:23,93,Coke,1.25
31/10/2016 09:39:09,segunda,09:39:09,94,Coffee,1.5
31/10/2016 09:39:09,segunda,09:39:09,94,Coffee,1.5
31/10/2016 09:43:37,segunda,09:43:37,95,Tea,1.5
31/10/2016 09:43:37,segunda,09:43:37,95,Pastry,3.0
31/10/2016 09:43:37,segunda,09:43:37,95,Farm House,2.0
31/10/2016 09:46:48,segunda,09:46:48,96,Pastry,3.0
31/10/2016 09:46:48,segunda,09:46:48,96,Pastry,3.0
31/10/2016 09:46:48,segunda,09:46:48,96,Coffee,1.5
31/10/2016 09:46:48,segunda,09:46:48,96,Juice,3.75
31/10/2016 09:51:11,segunda,09:51:11,97,Coffee,1.5
31/10/2016 09:51:11,segunda,09:51:11,97,Pastry,3.0
31/10/2016 09:51:11,segunda,09:51:11,97,Juice,3.75
31/10/2016 09:52:22,segunda,09:52:22,98,Farm House,2.0
31/10/2016 09:56:37,segunda,09:56:37,99,Pastry,3.0
31/10/2016 09:56:37,segunda,09:56:37,99,Pastry,3.0
31/10/2016 09:56:37,segunda,09:56:37,99,Coffee,1.5
31/10/2016 09:56:37,segunda,09:56:37,99,Bread,2.0
31/10/2016 09:58:06,segunda,09:58:06,100,Bread,2.0
31/10/2016 10:04:02,segunda,10:04:02,101,Coffee,1.5
31/10/2016 10:04:02,segunda,10:04:02,101,Pastry,3.0
31/10/2016 10:04:44,segunda,10:04:44,102,Farm House,2.0
31/10/2016 10:07:40,segunda,10:07:40,103,Bread,2.0
31/10/2016 10:12:48,segunda,10:12:48,104,Coffee,1.5
31/10/2016 10:12:48,segunda,10:12:48,104,Coffee,1.5
31/10/2016 10:12:48,segunda,10:12:48,104,Medialuna,3.0
31/10/2016 10:12:48,segunda,10:12:48,104,Muffin,1.75
31/10/2016 10:12:48,segunda,10:12:48,104,Coffee,1.5
31/10/2016 10:21:29,segunda,10:21:29,105,Coffee,1.5
31/10/2016 10:21:29,segunda,10:21:29,105,Tea,1.5
31/10/2016 10:21:29,segunda,10:21:29,105,Cake,4.0
31/10/2016 10:24:21,segunda,10:24:21,106,Coffee,1.5
31/10/2016 10:24:21,segunda,10:24:21,106,Coffee,1.5
31/10/2016 10:24:21,segunda,10:24:21,106,Pastry,3.0
31/10/2016 10:24:21,segunda,10:24:21,106,Pastry,3.0
31/10/2016 10:27:30,segunda,10:27:30,107,Coffee,1.5
31/10/2016 10:27:30,segunda,10:27:30,107,Tea,1.5
31/10/2016 10:31:05,segunda,10:31:05,108,Farm House,2.0
31/10/2016 10:31:05,segunda,10:31:05,108,Muffin,1.75
31/10/2016 10:35:23,segunda,10:35:23,109,Bread,2.0
31/10/2016 10:35:23,segunda,10:35:23,109,Muffin,1.75
31/10/2016 10:35:23,segunda,10:35:23,109,Pastry,3.0
31/10/2016 10:36:37,segunda,10:36:37,110,Pastry,3.0
31/10/2016 10:38:09,segunda,10:38:09,111,Coffee,1.5
31/10/2016 10:59:17,segunda,10:59:17,112,Coffee,1.5
31/10/2016 11:02:37,segunda,11:02:37,113,Coffee,1.5
31/10/2016 11:02:37,segunda,11:02:37,113,Cake,4.0
31/10/2016 11:05:45,segunda,11:05:45,114,Farm House,2.0
31/10/2016 11:08:53,segunda,11:08:53,115,Bread,2.0
31/10/2016 11:11:01,segunda,11:11:01,116,Coffee,1.5
31/10/2016 11:13:08,segunda,11:13:08,117,Cookies,1.5
31/10/2016 11:13:08,segunda,11:13:08,117,Cake,4.0
31/10/2016 11:13:08,segunda,11:13:08,117,Coffee,1.5
31/10/2016 11:13:08,segunda,11:13:08,117,My-5 Fruit Shoot,4.3
31/10/2016 11:18:29,segunda,11:18:29,118,Cookies,1.5
31/10/2016 11:18:29,segunda,11:18:29,118,Cookies,1.5
31/10/2016 11:18:29,segunda,11:18:29,118,Tea,1.5
31/10/2016 11:18:29,segunda,11:18:29,118,Pastry,3.0
31/10/2016 11:25:56,segunda,11:25:56,119,Coffee,1.5
31/10/2016 11:25:56,segunda,11:25:56,119,Coffee,1.5
31/10/2016 11:25:56,segunda,11:25:56,119,Muffin,1.75
31/10/2016 11:29:01,segunda,11:29:01,120,Farm House,2.0
31/10/2016 11:30:59,segunda,11:30:59,121,Coffee,1.5
31/10/2016 11:30:59,segunda,11:30:59,121,Bread,2.0
31/10/2016 11:37:30,segunda,11:37:30,122,Cookies,1.5
31/10/2016 11:42:05,segunda,11:42:05,123,Jam,2.0
31/10/2016 11:42:05,segunda,11:42:05,123,Coffee,1.5
31/10/2016 11:42:05,segunda,11:42:05,123,Coffee,1.5
31/10/2016 11:42:05,segunda,11:42:05,123,Juice,3.75
31/10/2016 11:43:10,segunda,11:43:10,124,Coffee,1.5
31/10/2016 11:43:10,segunda,11:43:10,124,Soup,4.0
31/10/2016 11:47:18,segunda,11:47:18,125,Tea,1.5
31/10/2016 11:52:43,segunda,11:52:43,126,Coffee,1.5
31/10/2016 11:52:43,segunda,11:52:43,126,Jam,2.0
31/10/2016 11:53:11,segunda,11:53:11,127,Farm House,2.0
31/10/2016 11:55:00,segunda,11:55:00,128,Tartine,3.0
31/10/2016 11:55:00,segunda,11:55:00,128,Coffee,1.5
31/10/2016 11:55:00,segunda,11:55:00,128,Tea,1.5
31/10/2016 11:59:23,segunda,11:59:23,129,Coffee,1.5
31/10/2016 11:59:23,segunda,11:59:23,129,Coffee,1.5
31/10/2016 11:59:23,segunda,11:59:23,129,Cake,4.0
31/10/2016 12:03:12,segunda,12:03:12,130,Coffee,1.5
31/10/2016 12:03:12,segunda,12:03:12,130,Coffee,1.5
31/10/2016 12:03:12,segunda,12:03:12,130,Muffin,1.75
31/10/2016 12:08:28,segunda,12:08:28,131,Bread,2.0
31/10/2016 12:08:28,segunda,12:08:28,131,Coffee,1.5
31/10/2016 12:14:20,segunda,12:14:20,132,Tea,1.5
31/10/2016 12:14:20,segunda,12:14:20,132,Juice,3.75
31/10/2016 12:14:20,segunda,12:14:20,132,Pick and Mix Bowls,4.0
31/10/2016 12:14:20,segunda,12:14:20,132,Cookies,1.5
31/10/2016 12:16:32,segunda,12:16:32,133,Hearty & Seasonal,6.0
31/10/2016 12:16:32,segunda,12:16:32,133,Soup,4.0
31/10/2016 12:19:37,segunda,12:19:37,134,Hearty & Seasonal,6.0
31/10/2016 12:19:37,segunda,12:19:37,134,Tea,1.5
31/10/2016 12:19:37,segunda,12:19:37,134,Farm House,2.0
31/10/2016 12:20:21,segunda,12:20:21,135,Bread,2.0
31/10/2016 12:27:41,segunda,12:27:41,136,Tea,1.5
31/10/2016 12:27:41,segunda,12:27:41,136,Soup,4.0
31/10/2016 12:37:07,segunda,12:37:07,137,Farm House,2.0
31/10/2016 12:43:35,segunda,12:43:35,138,Soup,4.0
31/10/2016 12:43:35,segunda,12:43:35,138,Hearty & Seasonal,6.0
31/10/2016 12:43:35,segunda,12:43:35,138,Coffee,1.5
31/10/2016 12:50:57,segunda,12:50:57,139,Bread,2.0
31/10/2016 12:50:57,segunda,12:50:57,139,Muffin,1.75
31/10/2016 12:50:57,segunda,12:50:57,139,Hearty & Seasonal,6.0
31/10/2016 12:53:33,segunda,12:53:33,140,Coffee,1.5
31/10/2016 12:53:33,segunda,12:53:33,140,Coffee,1.5
31/10/2016 12:53:33,segunda,12:53:33,140,Cookies,1.5
31/10/2016 12:54:28,segunda,12:54:28,141,Bread,2.0
31/10/2016 12:56:47,segunda,12:56:47,142,Tea,1.5
31/10/2016 12:56:47,segunda,12:56:47,142,Muffin,1.75
31/10/2016 12:59:08,segunda,12:59:08,143,Tea,1.5
31/10/2016 13:02:11,segunda,13:02:11,144,Soup,4.0
31/10/2016 13:02:11,segunda,13:02:11,144,Hearty & Seasonal,6.0
31/10/2016 13:05:49,segunda,13:05:49,145,Coffee,1.5
31/10/2016 13:05:49,segunda,13:05:49,145,Tea,1.5
31/10/2016 13:05:49,segunda,13:05:49,145,Focaccia,3.1
31/10/2016 13:08:30,segunda,13:08:30,146,Sandwich,6.0
31/10/2016 13:09:31,segunda,13:09:31,147,Tartine,3.0
31/10/2016 13:09:31,segunda,13:09:31,147,Coffee,1.5
31/10/2016 13:21:17,segunda,13:21:17,148,Fudge,2.2
31/10/2016 13:21:17,segunda,13:21:17,148,Coffee,1.5
31/10/2016 13:21:17,segunda,13:21:17,148,Coffee,1.5
31/10/2016 13:26:03,segunda,13:26:03,149,Coffee,1.5
31/10/2016 13:31:33,segunda,13:31:33,150,Bread,2.0
31/10/2016 13:50:17,segunda,13:50:17,151,Coke,1.25
31/10/2016 13:50:17,segunda,13:50:17,151,Soup,4.0
31/10/2016 13:51:18,segunda,13:51:18,152,Muffin,1.75
31/10/2016 13:55:22,segunda,13:55:22,153,Tea,1.5
31/10/2016 13:55:22,segunda,13:55:22,153,Coffee,1.5
31/10/2016 13:55:22,segunda,13:55:22,153,Cookies,1.5
31/10/2016 13:55:22,segunda,13:55:22,153,Muffin,1.75
31/10/2016 14:00:21,segunda,14:00:21,154,Mighty Protein,6.2
31/10/2016 14:00:21,segunda,14:00:21,154,Hearty & Seasonal,6.0
31/10/2016 14:00:21,segunda,14:00:21,154,Coffee,1.5
31/10/2016 14:00:21,segunda,14:00:21,154,Coke,1.25
31/10/2016 14:01:30,segunda,14:01:30,155,Tea,1.5
31/10/2016 14:01:30,segunda,14:01:30,155,Muffin,1.75
31/10/2016 14:01:30,segunda,14:01:30,155,Sandwich,6.0
31/10/2016 14:04:16,segunda,14:04:16,156,Coffee,1.5
31/10/2016 14:04:16,segunda,14:04:16,156,Muffin,1.75
31/10/2016 14:05:07,segunda,14:05:07,157,Coffee,1.5
31/10/2016 14:05:07,segunda,14:05:07,157,Bread,2.0
31/10/2016 14:20:29,segunda,14:20:29,158,Coffee,1.5
31/10/2016 14:20:29,segunda,14:20:29,158,Muffin,1.75
31/10/2016 14:22:31,segunda,14:22:31,159,Bread,2.0
31/10/2016 14:22:31,segunda,14:22:31,159,Hot chocolate,2.5
31/10/2016 14:22:31,segunda,14:22:31,159,Cookies,1.5
31/10/2016 14:35:27,segunda,14:35:27,160,Mineral water,1.25
31/10/2016 14:35:27,segunda,14:35:27,160,Muffin,1.75
31/10/2016 14:42:34,segunda,14:42:34,161,Tea,1.5
31/10/2016 14:44:48,segunda,14:44:48,162,Muffin,1.75
31/10/2016 14:47:16,segunda,14:47:16,163,Coffee,1.5
31/10/2016 14:47:16,segunda,14:47:16,163,Juice,3.75
31/10/2016 14:47:36,segunda,14:47:36,164,Coffee,1.5
31/10/2016 14:47:36,segunda,14:47:36,164,Muffin,1.75
31/10/2016 14:48:49,segunda,14:48:49,165,Tea,1.5
31/10/2016 14:49:28,segunda,14:49:28,166,Coffee,1.5
31/10/2016 14:49:28,segunda,14:49:28,166,Muffin,1.75
31/10/2016 14:50:42,segunda,14:50:42,167,Sandwich,6.0
31/10/2016 14:50:42,segunda,14:50:42,167,Hearty & Seasonal,6.0
31/10/2016 14:50:42,segunda,14:50:42,167,Bread,2.0
31/10/2016 14:50:42,segunda,14:50:42,167,Mineral water,1.25
31/10/2016 14:56:25,segunda,14:56:25,168,Tea,1.5
31/10/2016 14:56:25,segunda,14:56:25,168,Coffee,1.5
31/10/2016 15:05:17,segunda,15:05:17,169,Mineral water,1.25
31/10/2016 15:16:49,segunda,15:16:49,170,Coffee,1.5
31/10/2016 15:20:16,segunda,15:20:16,171,Soup,4.0
31/10/2016 15:20:16,segunda,15:20:16,171,Tea,1.5
31/10/2016 17:06:47,segunda,17:06:47,172,Bread,2.0
31/10/2016 17:06:47,segunda,17:06:47,172,Coffee,1.5
31/10/2016 17:08:09,segunda,17:08:09,173,Bread,2.0
31/10/2016 17:08:09,segunda,17:08:09,173,Muffin,1.75
31/10/2016 17:40:21,segunda,17:40:21,174,Coffee,1.5
31/10/2016 17:49:42,segunda,17:49:42,175,Bread,2.0
31/10/2016 18:22:24,segunda,18:22:24,176,Cookies,1.5
31/10/2016 18:22:24,segunda,18:22:24,176,Coffee,1.5
01/11/2016 07:51:20,terca,07:51:20,178,Coffee,1.5
01/11/2016 07:51:20,terca,07:51:20,178,Pastry,3.0
01/11/2016 08:20:50,terca,08:20:50,179,Coffee,1.5
01/11/2016 08:20:50,terca,08:20:50,179,Pastry,3.0
01/11/2016 08:22:28,terca,08:22:28,180,Jam,2.0
01/11/2016 08:22:28,terca,08:22:28,180,Tea,1.5
01/11/2016 08:45:20,terca,08:45:20,181,Tea,1.5
01/11/2016 08:45:20,terca,08:45:20,181,Tea,1.5
01/11/2016 09:07:47,terca,09:07:47,182,Pastry,3.0
01/11/2016 09:07:47,terca,09:07:47,182,Pastry,3.0
01/11/2016 09:07:47,terca,09:07:47,182,Ella's Kitchen Pouches,3.0
01/11/2016 09:09:26,terca,09:09:26,183,Pastry,3.0
01/11/2016 09:26:03,terca,09:26:03,184,Farm House,2.0
01/11/2016 09:26:03,terca,09:26:03,184,Tea,1.5
01/11/2016 09:29:25,terca,09:29:25,185,Tea,1.5
01/11/2016 09:29:25,terca,09:29:25,185,Victorian Sponge,3.0
01/11/2016 09:43:13,terca,09:43:13,186,Tea,1.5
01/11/2016 09:43:13,terca,09:43:13,186,Pastry,3.0
01/11/2016 10:02:27,terca,10:02:27,187,Bread,2.0
01/11/2016 10:04:05,terca,10:04:05,188,Coffee,1.5
01/11/2016 10:29:02,terca,10:29:02,189,Bread,2.0
01/11/2016 10:29:02,terca,10:29:02,189,Coffee,1.5
01/11/2016 10:34:53,terca,10:34:53,190,Coffee,1.5
01/11/2016 10:34:53,terca,10:34:53,190,Pastry,3.0
01/11/2016 10:34:53,terca,10:34:53,190,Pastry,3.0
01/11/2016 10:50:50,terca,10:50:50,191,Soup,4.0
01/11/2016 10:50:50,terca,10:50:50,191,Tea,1.5
01/11/2016 10:56:08,terca,10:56:08,192,Bread,2.0
01/11/2016 11:00:48,terca,11:00:48,193,Coffee,1.5
01/11/2016 11:04:36,terca,11:04:36,194,Bread,2.0
01/11/2016 11:04:36,terca,11:04:36,194,Bread,2.0
01/11/2016 11:06:09,terca,11:06:09,195,Bread,2.0
01/11/2016 11:06:09,terca,11:06:09,195,Scandinavian,3.0
01/11/2016 11:08:18,terca,11:08:18,196,Bread,2.0
01/11/2016 11:08:18,terca,11:08:18,196,Cake,4.0
01/11/2016 11:08:18,terca,11:08:18,196,Cookies,1.5
01/11/2016 11:10:11,terca,11:10:11,197,Coffee,1.5
01/11/2016 11:10:11,terca,11:10:11,197,Coffee,1.5
01/11/2016 11:10:11,terca,11:10:11,197,Tea,1.5
01/11/2016 11:11:58,terca,11:11:58,198,Coffee,1.5
